ORIGINE_CODE;ORIGINE_NAME;X_START;Y_START;DESTINATION_CODE;DESTINATION_NAME;FORMATION;DEP_CODE;X_END;Y_END;FLUX
11262;NARBONNE;3.020195524;43.16525474;33063;BORDEAUX;*CAP PEINTURE EN CARROSSERIE*;11;-0.573444149;44.85753608;1
13110;TRETS;5.700144367;43.43782489;33063;BORDEAUX;FCD33-EXP'HOTEL;13;-0.573444149;44.85753608;1
15117;MARCOLES;2.357145178;44.78244395;33063;BORDEAUX;TP TECHNICIEN ELECTROMECANICIEN AUTO;15;-0.573444149;44.85753608;1
15120;MAURIAC;2.316722601;45.21865828;24138;COULOUNIEIX CHAMIERS;FCR-FORMATION MOBILITE;15;0.687341021;45.16475489;1
16003;AGRIS;0.327891917;45.77653488;16015;ANGOULEME;FCR-PACK COMMERCIAL;16;0.145169289;45.64737614;1
16005;AIGRE;0.023736593;45.90229083;16015;ANGOULEME;FCR-FORMATION INITIALE TAXI;16;0.145169289;45.64737614;1
16005;VILLEJESUS;0.023736593;45.90229083;16015;ANGOULEME;FCR-PACK MICRO;16;0.145169289;45.64737614;1
16007;ALLOUE;0.525735836;46.02019672;16015;ANGOULEME;FCR-PACK MICRO;16;0.145169289;45.64737614;1
16009;AMBERNAC;0.556766612;45.97471637;16015;ANGOULEME;FCR-PACK MICRO;16;0.145169289;45.64737614;2
16011;ANAIS;0.205490282;45.76986201;16015;ANGOULEME;FCR-PACK MICRO;16;0.145169289;45.64737614;1
16011;ANAIS;0.205490282;45.76986201;16015;ANGOULEME;FCR-PACK PREMIUM;16;0.145169289;45.64737614;1
16013;ANGEAC CHARENTE;-0.082245395;45.62280886;16015;ANGOULEME;FCR-PACK COMMERCIAL;16;0.145169289;45.64737614;1
16013;ANGEAC CHARENTE;-0.082245395;45.62280886;16102;COGNAC;FCR-PACK MICRO;16;-0.335265919;45.69637965;1
16015;ANGOULEME;0.145169289;45.64737614;16015;ANGOULEME;FCD16-EXAMEN TAXI;16;0.145169289;45.64737614;1
16015;ANGOULEME;0.145169289;45.64737614;16015;ANGOULEME;FCD16-PILOTER SON ENTREPRISE;16;0.145169289;45.64737614;1
16015;ANGOULEME;0.145169289;45.64737614;16015;ANGOULEME;FCR-CONDITIONS GENERALES DE VENTE;16;0.145169289;45.64737614;2
16015;ANGOULEME;0.145169289;45.64737614;16015;ANGOULEME;FCR-FC OBLIGATOIRE TAXI;16;0.145169289;45.64737614;7
16015;ANGOULEME;0.145169289;45.64737614;16015;ANGOULEME;FCR-FORMATION INITIALE TAXI;16;0.145169289;45.64737614;3
16015;ANGOULEME;0.145169289;45.64737614;16015;ANGOULEME;FCR-FORMATION MOBILITE;16;0.145169289;45.64737614;2
16015;ANGOULEME;0.145169289;45.64737614;16015;ANGOULEME;FCR-GERER MA TVA;16;0.145169289;45.64737614;2
16015;ANGOULEME;0.145169289;45.64737614;16015;ANGOULEME;FCR-HYGIENE ALIMENTAIRE;16;0.145169289;45.64737614;7
16015;ANGOULEME;0.145169289;45.64737614;16015;ANGOULEME;FCR-PACK COMMERCIAL;16;0.145169289;45.64737614;5
16015;ANGOULEME;0.145169289;45.64737614;16015;ANGOULEME;FCR-PACK ESSENTIEL;16;0.145169289;45.64737614;3
16015;ANGOULEME;0.145169289;45.64737614;16015;ANGOULEME;FCR-PACK MICRO;16;0.145169289;45.64737614;22
16015;ANGOULEME;0.145169289;45.64737614;16015;ANGOULEME;FCR-PACK PREMIUM;16;0.145169289;45.64737614;11
16015;ANGOULEME;0.145169289;45.64737614;16028;BARBEZIEUX;*CAP BOUCHER*;16;-0.157558209;45.47775221;1
16015;ANGOULEME;0.145169289;45.64737614;16028;BARBEZIEUX;*CAP CHARCUTIER-TRAITEUR*;16;-0.157558209;45.47775221;1
16015;ANGOULEME;0.145169289;45.64737614;16028;BARBEZIEUX;CAP ACCOMPAG EDUCATIF PETITE ENFANCE;16;-0.157558209;45.47775221;1
16015;ANGOULEME;0.145169289;45.64737614;16028;BARBEZIEUX;CAP PATISSIER;16;-0.157558209;45.47775221;1
16015;ANGOULEME;0.145169289;45.64737614;16102;COGNAC;CAP METIERS DE LA COIFFURE;16;-0.335265919;45.69637965;3
16015;ANGOULEME;0.145169289;45.64737614;17200;LAGORD;*CAP CHOCOLATIER CONFISEUR*;16;-1.152625344;46.18680004;1
16015;ANGOULEME;0.145169289;45.64737614;86194;POITIERS;FCR-PACK PREMIUM;16;0.359471044;46.58362501;2
16015;ANGOULÊME;0.145169289;45.64737614;16015;ANGOULEME;FCR-PACK COMMERCIAL;16;0.145169289;45.64737614;1
16015;ANGOULÊME;0.145169289;45.64737614;16015;ANGOULEME;FCR-PACK MICRO;16;0.145169289;45.64737614;2
16015;ANGOULÊME;0.145169289;45.64737614;16015;ANGOULEME;FCR-PACK PREMIUM;16;0.145169289;45.64737614;3
16015;ANGOULÊME;0.145169289;45.64737614;24138;COULOUNIEIX CHAMIERS;FCR-PACK PREMIUM;16;0.687341021;45.16475489;1
16016;ANSAC SUR VIENNE;0.619749933;45.99446486;16015;ANGOULEME;FCR-HYGIENE ALIMENTAIRE;16;0.145169289;45.64737614;1
16018;ARS;-0.402130165;45.63683012;16015;ANGOULEME;FCR-PACK PREMIUM;16;0.145169289;45.64737614;1
16018;ARS;-0.402130165;45.63683012;16102;COGNAC;FCDST16-AGENT DE CHAI;16;-0.335265919;45.69637965;1
16019;ASNIERES SUR NOUERE;0.048538023;45.70840093;16015;ANGOULEME;FCR-INSTAGRAM INTERMEDIAIRE;16;0.145169289;45.64737614;1
16019;ASNIERES SUR NOUERE;0.048538023;45.70840093;16015;ANGOULEME;FCR-PACK ESSENTIEL;16;0.145169289;45.64737614;1
16019;ASNIERES SUR NOUERE;0.048538023;45.70840093;16015;ANGOULEME;FCR-PACK PREMIUM;16;0.145169289;45.64737614;1
16020;AUBETERRE SUR DRONNE;0.168048138;45.26150014;24138;COULOUNIEIX CHAMIERS;FCD24-REUNION INFORMATION;16;0.687341021;45.16475489;1
16024;AUSSAC VADALLE;0.215666037;45.82172086;16015;ANGOULEME;FCR-PACK PREMIUM;16;0.145169289;45.64737614;1
16025;BAIGNES SAINTE RADEGONDE;-0.253965461;45.37463611;16015;ANGOULEME;FCR-PACK MICRO;16;0.145169289;45.64737614;1
16025;BAIGNES SAINTE RADEGONDE;-0.253965461;45.37463611;86194;POITIERS;FCR-PACK MICRO;16;0.359471044;46.58362501;1
16026;BALZAC;0.133848897;45.71224039;16015;ANGOULEME;FCR-FORMATION INITIALE TAXI;16;0.145169289;45.64737614;1
16026;BALZAC;0.133848897;45.71224039;16015;ANGOULEME;FCR-PACK MICRO;16;0.145169289;45.64737614;1
16026;BALZAC;0.133848897;45.71224039;16015;ANGOULEME;FCR-PACK PREMIUM;16;0.145169289;45.64737614;1
16028;BARBEZIEUX SAINT HILAIRE;-0.157558209;45.47775221;16015;ANGOULEME;FCR-FC OBLIGATOIRE TAXI;16;0.145169289;45.64737614;1
16028;BARBEZIEUX SAINT HILAIRE;-0.157558209;45.47775221;16015;ANGOULEME;FCR-HYGIENE ALIMENTAIRE;16;0.145169289;45.64737614;2
16028;BARBEZIEUX SAINT HILAIRE;-0.157558209;45.47775221;16015;ANGOULEME;FCR-PACK COMMERCIAL;16;0.145169289;45.64737614;2
16028;BARBEZIEUX SAINT HILAIRE;-0.157558209;45.47775221;16015;ANGOULEME;FCR-PACK MICRO;16;0.145169289;45.64737614;1
16028;BARBEZIEUX SAINT HILAIRE;-0.157558209;45.47775221;16015;ANGOULEME;FCR-PACK PREMIUM;16;0.145169289;45.64737614;1
16028;BARBEZIEUX SAINT HILAIRE;-0.157558209;45.47775221;16102;COGNAC;*CAP TONNELLERIE*;16;-0.335265919;45.69637965;1
16028;BARBEZIEUX SAINT HILAIRE;-0.157558209;45.47775221;16102;COGNAC;FCDST16-AGENT DE CHAI;16;-0.335265919;45.69637965;1
16028;BARBEZIEUX ST HILAIRE;-0.157558209;45.47775221;16015;ANGOULEME;FCR-PACK MICRO;16;0.145169289;45.64737614;1
16028;BARBEZIEUX ST HILAIRE;-0.157558209;45.47775221;17415;SAINTES;FCR-PERMIS EXPLOITATION;16;-0.649821107;45.74212244;1
16028;BARBEZIEUX ST HILAIRE;-0.157558209;45.47775221;33063;BORDEAUX;FCR-DEVELOPPER MON OFFRE COMMERCIALE;16;-0.573444149;44.85753608;1
16028;BARBEZIEUX ST HILAIRE;-0.157558209;45.47775221;33063;BORDEAUX;FCR-MICRO PRIX;16;-0.573444149;44.85753608;1
16028;BARBEZIEUX ST HILAIRE;-0.157558209;45.47775221;33063;BORDEAUX;FCR-MODULE MARCHAND;16;-0.573444149;44.85753608;1
16028;BARBEZIEUX ST HILAIRE;-0.157558209;45.47775221;33063;BORDEAUX;FCR-SITE INTERNET;16;-0.573444149;44.85753608;1
16028;BARBEZIEUX-SAINT-HILAIRE;-0.157558209;45.47775221;16015;ANGOULEME;FCR-PACK MICRO;16;0.145169289;45.64737614;1
16029;BARDENAC;-0.01504461;45.30030859;16015;ANGOULEME;FCR-PACK PREMIUM;16;0.145169289;45.64737614;1
16030;BARRET;-0.205844233;45.48897365;17339;SAINT GERMAIN DE LUSIGNAN;CAP MAINT MATERIELS OPTC ESP VERTS;16;-0.44417786;45.46337339;1
16032;BASSAC;-0.099297238;45.66536387;16015;ANGOULEME;FCR-PACK COMMERCIAL;16;0.145169289;45.64737614;1
16042;BESSE;0.082092168;45.95838008;16015;ANGOULEME;FCR-PACK PREMIUM;16;0.145169289;45.64737614;1
16044;BIOUSSAC;0.270407244;46.03073515;16015;ANGOULEME;FCR-PACK MICRO;16;0.145169289;45.64737614;2
16044;BIOUSSAC;0.270407244;46.03073515;16015;ANGOULEME;FCR-PACK PREMIUM;16;0.145169289;45.64737614;1
16046;COTEAUX DU BLANZACAIS;0.026112479;45.45680737;16015;ANGOULEME;FCR-HYGIENE ALIMENTAIRE;16;0.145169289;45.64737614;1
16046;COTEAUX DU BLANZACAIS;0.026112479;45.45680737;16015;ANGOULEME;FCR-PACK COMMERCIAL;16;0.145169289;45.64737614;1
16047;BLANZAGUET SAINT CYBARD;0.312580098;45.47351061;16015;ANGOULEME;FCR-HYGIENE ALIMENTAIRE;16;0.145169289;45.64737614;1
16052;BORS DE MONTMOREAU;0.148316668;45.3401158;16015;ANGOULEME;FCR-FC OBLIGATOIRE TAXI;16;0.145169289;45.64737614;1
16055;BOUEX;0.318136863;45.62490822;16028;BARBEZIEUX;*CAP BOUCHER*;16;-0.157558209;45.47775221;1
16056;BOURG CHARENTE;-0.222063354;45.6660562;16015;ANGOULEME;FCD16-PILOTER SON ENTREPRISE;16;0.145169289;45.64737614;1
16056;BOURG CHARENTE;-0.222063354;45.6660562;16015;ANGOULEME;FCR-GERER MA TVA;16;0.145169289;45.64737614;1
16056;BOURG CHARENTE;-0.222063354;45.6660562;16015;ANGOULEME;FCR-PACK ESSENTIEL;16;0.145169289;45.64737614;1
16056;BOURG CHARENTE;-0.222063354;45.6660562;16015;ANGOULEME;FCR-PACK MICRO;16;0.145169289;45.64737614;3
16056;BOURG CHARENTE;-0.222063354;45.6660562;16015;ANGOULEME;FCR-PACK PREMIUM;16;0.145169289;45.64737614;1
16057;BOUTEVILLE;-0.127627708;45.60710879;17339;SAINT GERMAIN DE LUSIGNAN;CAP MAINT VEHIC OPTA VP;16;-0.44417786;45.46337339;1
16058;BOUTIERS SAINT TROJAN;-0.296912399;45.71101837;16015;ANGOULEME;FCR-PACK ESSENTIEL;16;0.145169289;45.64737614;1
16058;BOUTIERS SAINT TROJAN;-0.296912399;45.71101837;16015;ANGOULEME;FCR-PACK MICRO;16;0.145169289;45.64737614;2
16060;BREVILLE;-0.27458927;45.78928675;16015;ANGOULEME;FCR-HYGIENE ALIMENTAIRE;16;0.145169289;45.64737614;1
16060;BREVILLE;-0.27458927;45.78928675;16015;ANGOULEME;FCR-SITE INTERNET;16;0.145169289;45.64737614;1
16060;BREVILLE;-0.27458927;45.78928675;16102;COGNAC;FC-ST-16-ESTIMEDESOIAPEJ;16;-0.335265919;45.69637965;1
16061;BRIE;0.266403005;45.73438026;16015;ANGOULEME;FCR-HYGIENE ALIMENTAIRE;16;0.145169289;45.64737614;1
16061;BRIE;0.266403005;45.73438026;16015;ANGOULEME;FCR-PACK MICRO;16;0.145169289;45.64737614;9
16061;BRIE;0.266403005;45.73438026;16015;ANGOULEME;FCR-PACK PREMIUM;16;0.145169289;45.64737614;3
16061;BRIE;0.266403005;45.73438026;16028;BARBEZIEUX;*CAP CHARCUTIER-TRAITEUR*;16;-0.157558209;45.47775221;1
16064;BRIGUEUIL;0.869082302;45.95113534;87085;LIMOGES;FCR-PACK MICRO;16;1.248845813;45.85442518;2
16065;BRILLAC;0.776779851;46.0676077;16015;ANGOULEME;FCR-CONDITIONS GENERALES DE VENTE;16;0.145169289;45.64737614;1
16065;BRILLAC;0.776779851;46.0676077;16015;ANGOULEME;FCR-PACK COMMERCIAL;16;0.145169289;45.64737614;1
16065;BRILLAC;0.776779851;46.0676077;16015;ANGOULEME;FCR-PACK MICRO;16;0.145169289;45.64737614;1
16067;BUNZAC;0.344612635;45.69900818;16015;ANGOULEME;FCR-HYGIENE ALIMENTAIRE;16;0.145169289;45.64737614;1
16069;CELLETTES;0.145415697;45.86403478;16015;ANGOULEME;FCR-PACK PREMIUM;16;0.145169289;45.64737614;1
16069;MANSLE;0.145415697;45.86403478;16015;ANGOULEME;FCR-FC OBLIGATOIRE TAXI;16;0.145169289;45.64737614;1
16070;CHABANAIS;0.711319669;45.8641721;16015;ANGOULEME;FCR-INSTAGRAM INTERMEDIAIRE;16;0.145169289;45.64737614;1
16072;CHADURIE;0.142537692;45.49626498;16015;ANGOULEME;FCR-FORMATION INITIALE TAXI;16;0.145169289;45.64737614;1
16072;CHADURIE;0.142537692;45.49626498;16015;ANGOULEME;FCR-GERER MA TVA;16;0.145169289;45.64737614;1
16073;CHALAIS;0.038596233;45.27470112;16015;ANGOULEME;FCR-PACK MICRO;16;0.145169289;45.64737614;1
16074;CHALLIGNAC;-0.084526555;45.42301331;16015;ANGOULEME;FCR-CONDITIONS GENERALES DE VENTE;16;0.145169289;45.64737614;1
16075;CHAMPAGNE VIGNY;0.041282692;45.507596;16015;ANGOULEME;FCR-PACK PREMIUM;16;0.145169289;45.64737614;1
16076;CHAMPAGNE MOUTON;0.412558984;45.9931121;16015;ANGOULEME;FCR-PACK MICRO;16;0.145169289;45.64737614;1
16076;CHAMPAGNE MOUTON;0.412558984;45.9931121;33063;BORDEAUX;TP TECHNICIEN ELECTROMECANICIEN AUTO;16;-0.573444149;44.85753608;1
16076;CHAMPAGNE-MOUTON;0.412558984;45.9931121;16015;ANGOULEME;FCR-PACK MICRO;16;0.145169289;45.64737614;1
16077;CHAMPMILLON;0.005377505;45.64750257;16015;ANGOULEME;FCR-FC OBLIGATOIRE TAXI;16;0.145169289;45.64737614;1
16078;CHAMPNIERS;0.196236151;45.71674559;16015;ANGOULEME;FCR-FC OBLIGATOIRE TAXI;16;0.145169289;45.64737614;1
16078;CHAMPNIERS;0.196236151;45.71674559;16015;ANGOULEME;FCR-HYGIENE ALIMENTAIRE;16;0.145169289;45.64737614;1
16078;CHAMPNIERS;0.196236151;45.71674559;16015;ANGOULEME;FCR-LIRE UN BILAN COMPTABLE;16;0.145169289;45.64737614;1
16078;CHAMPNIERS;0.196236151;45.71674559;16015;ANGOULEME;FCR-PACK COMMERCIAL;16;0.145169289;45.64737614;2
16078;CHAMPNIERS;0.196236151;45.71674559;16015;ANGOULEME;FCR-PACK PREMIUM;16;0.145169289;45.64737614;2
16082;BOISNE LA TUDE;0.186217126;45.47228939;16015;ANGOULEME;FCR-HYGIENE ALIMENTAIRE;16;0.145169289;45.64737614;1
16085;CHASSENEUIL SUR BONNIEURE;0.441385029;45.82429284;16015;ANGOULEME;FCR-FC OBLIGATOIRE TAXI;16;0.145169289;45.64737614;1
16085;CHASSENEUIL SUR BONNIEURE;0.441385029;45.82429284;16015;ANGOULEME;FCR-PACK COMMERCIAL;16;0.145169289;45.64737614;2
16085;CHASSENEUIL SUR BONNIEURE;0.441385029;45.82429284;16015;ANGOULEME;FCR-PACK MICRO;16;0.145169289;45.64737614;3
16085;CHASSENEUIL-SUR-BONNIEURE;0.441385029;45.82429284;16015;ANGOULEME;FCR-PACK MICRO;16;0.145169289;45.64737614;1
16086;CHASSENON;0.772891626;45.85147112;16015;ANGOULEME;FCR-FOIRES SALONS ET MARCHES;16;0.145169289;45.64737614;1
16086;CHASSENON;0.772891626;45.85147112;16015;ANGOULEME;FCR-GERER MA TVA;16;0.145169289;45.64737614;1
